ebitda,industry,location,name,revenue
"$750,000",Franchise,"Medford, NY, USA","High-performing, semi-absentee, auto accessory sales business","$3,433,000"
"$514,000",Construction,"Alabama, USA",Fence Contractor: Residential & Commercial,"$3,077,477"
"$470,000",Manufacturing,"Mississippi, USA",Sign Company,"$1,962,000"
"$9,700",Food,"Key West, FL, USA",Award Winning Food and Wine Festival 1187,"$110,000"
"$1,343,000",Consumer Services,"Santa Monica, CA, USA",High Profit Food Service Consultancy for Sale 1186,"$8,200,000"
"$80,000",Food,"Missoula, MT",Breakfast Eatery Golden Yolk Griddle,"$350,000"
"$120,000",Consumer Services,"Missoula, MT",Ink Refill and Sales Company,"$600,000"
"$60,000",Consumer Services,"Hamilton, MT, USA",Dog Care Facility,"$200,000"
"$100,000",Manufacturing,"Florence, MT, USA","Distillery: Gin, Vodka, Brandy Manufacturer","$500,000"
"$577,708",Business Services,"Albuquerque, NM, USA",Vinyl Fabrication with 100% Wholesale to Distributors,"$2,296,715"
"$137,908",Software,"Texas, USA",Safe Driving App,"$205,693"
"$590,140",Software,"New York State, USA",Custom Software Development Company,"$4,370,595"
"$2,502,035",Food,"New York, NY, USA",Wholesale Produce Distributor HACCP Certified Pre-Cut Vegetable Manuf. 1200,"$47,660,513"
"$105,000",Food,"Santa Monica, CA, USA",Woman Owned Winery with Nationwide Recognition 1185,"$500,000"
"$112,000",Consumer Services,"Rutland, MA, USA",Professional & Profitable Lawn Care Business with over 400 Clients 1184,"$700,000"
"$816,317",Food,"San Jose, CA, USA",4 Experience-Based Profit-Serving Restaurant Chain 1183,"$8,214,000"
"$267,048",Technology,"Texas, USA","IT Support Provider (Texas, USA)","$1,143,715"
"$381,580",Retail,California,BOAT SALES BUSINESS,"$6,918,908"
"$2,340,000",Software,"Waxhaw, NC, USA",Software Development and Engineering Company 1182,"$8,000,000"
"$2,732,810",Construction,Northwest Michigan,*Highly Profitable* High-End Custom Residential Home Builder,"$13,602,449"
"$128,000",Consumer Services,"Worcester, MA, USA",Central Mass Salon & Day Spa – Professional & Profitable 1181,"$616,000"
"$471,956",Business Services,"St. Louis, MO, USA",Paid Social Advertising Outreach 100% Retainer Contracts 1180,"$2,342,458"
"$114,000",Food,"Boston, MA, USA",Profitable Healthy Food Distribution Business 1179,"$434,000"
"$123,815",Consumer Services,"Westford, MA, USA",Thriving New England Day Spa for Sale 1177,"$423,050"
"$563,292",Retail,"Harrisburg, PA, USA",Firearm Supply Store with Absentee Owner,"$3,532,799"
"$1,938,000",Food,"Washington, USA",Food Brokerage Business (Washington),"$16,762,000"
"$305,466",Media,"Michigan, USA",Remote Based Digital Advertising Agency (Michigan) - 216,"$956,166"
"$348,213",Manufacturing,"Southeast, United States",Manufacturer's Representative (Southeast US),"$2,365,782"
"$1,308,698",Manufacturing,"North Carolina, USA",Commercial Custom Medical Casework Manufacturing and Installation with $10M,"$9,396,964"
"$861,279",Retail,North Carolina,Multi-location Independent Retailer of Fitness Equipment,"$7,785,621"
"$256,972",Construction,"Denver, CO, USA",Renovations for Denver School Districts: Seller will carry 35%,"$2,698,493"
"$9,149",Software,"Tampa, FL, USA",Email Marketing App for 1.8B Gmailers + 6M Workspace Users (Tampa) 1176,"$12,121"
"$3,594",Software,"Tampa, FL, USA",Video Recruiting App (Tampa) 1175,"$12,949"
"$3,004,131",Construction,"Tacoma, WA, USA",Electric Firm with Focus on Infrastructure for Municipalities,"$23,831,713"
"$5,249",Technology,"San Jose, CA, USA","Search Engine Compares Open Sources For Coding (San Jose, CA) 1174","$12,140"
$0,Healthcare,"San Clemente, CA, USA","Transparent Antiviral Masks/Respirators (San Clemente, CA) 1173","$12,000"
"$243,573",Consumer Services,"Waterbury, CT, USA","Flourishing Beauty School (Waterbury, CT) 1172","$455,078"
"$237,002",Construction,"Mission Viejo, CA, USA",Kitchen and Bath Remodeling Business for Sale 1170,"$763,045"
"$277,052",Finance,"Seattle, WA, USA",Seattle Based Annuities Book of Business 1169,"$301,252"
"$220,000",Software,"Los Angeles, CA, USA",Lacrosse Focused Online Community w/Marquis Partnership 1168,"$1,200,000"
"$11,999",Consumer Services,"Spokane, WA, USA","Spokane, Washington Mobile Detailing Company for Sale 1167","$12,000"
"$113,908",Healthcare,"Naperville, IL, USA",Well-Established Dental Practice for Sale 1166,"$400,447"
"$500,000",Manufacturing,"New York State, USA",Educational Publisher/Producer of Hands-On Print & EdTech Resources,"$1,400,000"
"$1,536,314",Technology,Northeast,Acoustics Focused Professional Consulting Firm (Northeast),"$3,504,067"
"$225,000",Software,"San Francisco, CA, USA",International SMS Messaging Platform w/High Retention 1164,"$3,300,000"
"$1,564,000",Software,"Greeneville, TN, USA",80% Recurring Government and Nuclear Communications Firm 1163,"$3,330,000"
"$700,000",Technology,"Minnesota, USA",Luxury Av/ Integrated system,"$2,300,000"
"$142,144",Consumer Services,California,Eye Health Center and Optometric Practice (California),"$510,819"
"$599,998",Technology,"Dallas, TX, USA",Cell Site Maintenance and Telecomm Tower Erection (Dallas),"$5,666,020"
